Broker,Broker Name
39298,BATHGATE
39322,SRIDGE
39329,NATLSEC
39339,HFPCAP
39364,FBNSEC
39374,VTBCAP
39389,DUDACK
39392,SOGOULD
39393,TECHRG
39408,MRNGSTAR
39409,HERMANA
39433,MCNICOLL
39449,GARWOOD
39466,ALEMBIC
39514,PIVOTAL
39558,LIFETECH
39574,WILLFIN
39585,IMPERCAP
39586,OLYMPIA
39591,CRISPIDE
39592,BGCPART
39664,MIZUSEC
39682,PPARTGRP
39729,DAIWAUS
39764,THEJUDAG
39862,GUGGEL
39897,NCPNOR
39908,FRIEDCOM
39936,ICBCINT
39956,DISCOVIN
40033,MERLIN
40056,BIRD
40102,CITASEC
40103,MEITAV
40160,CMOUNT
40241,AXICAP
40258,PACMAN
40355,TIBRES
40371,WJBCAP
40419,STANCARD
40516,MZSEC
40561,TECHINRE
40585,CLARKY
40609,ALTACORP
40610,KERNLOW
40611,TRIPOINT
40629,MURPHY
40653,LANCO
40722,THCAP
40754,GREWEL
40794,IBERIA
41080,CAPLP
41093,EUROPAC
41094,USCASEC
41106,ALLISEC
41108,VERTRESP
41121,AEGISCAP
41228,JGCAP
41233,MERION
41237,KLRGRP
41244,BLAYROB
41253,EITYSIX
41258,BYRON
41262,WBETH
41264,EILERS
41267,BOCOM
41271,BGCFINAN
41274,UNIGAM
41275,BURRILL
41285,SUMRES
41293,MIDPAR
41294,LITCH
41295,LAFFER
41300,BLUFIN
41307,LAIDCOM
41314,MOFFETT
41330,GREENRD
41332,OBSIRES
41356,MHIGHL
41366,ATHLOS
41377,VINING
41383,ROSSEC
41401,BURKE
41405,FORWARD
41413,ELAZAR
41418,MITUSA
41421,CGCAP
41425,DIGIOFF
41426,CHINARE
41435,JBLADVIS
41439,ACTINVER
41449,EFHUTTON
41453,JONESTAD
41456,MCMPART
41462,REDSTONE
41470,PORTALES
41471,SBGSEC
41474,AXIACAP
41500,CHRENUSA
41505,IFSCU
41518,LOOPCAMA
41524,RXSEC
41525,GUOJUN
41536,EVALUATE
41537,VERTIGRO
41538,RENMACRO
41545,CONSUMER
41547,DIRADVRS
41549,ARPART
41557,HASKETT
41578,EMASSMGT
41581,MELIUS
41582,BROOKCM
41584,LANERE
41586,NEPHRON
41593,ATWATER
41606,BBVALTAM
41609,CANNONBA
41614,KALINO
41621,OAKFINAN
41623,HUBER
41631,LIFSCICA
41638,FERMIUM
41647,GRANDATI
41657,FUNDARES
41663,SMBCNSAM
41666,KSPRES
41668,CASCENDS
41673,HEATHER
41679,SPARTANC
41682,GLJRES
41685,WEBRES
41686,MORNRES
41687,RFCAPTAL
41689,CLEAVES
41693,SMACCRES
41711,GLOVALUE
41712,BAPTISTA
41726,ANTRIM
41739,FOXADVIS
41744,TIER4RES
41756,WTRADING
41769,CFRANOWM
41784,BARREN
42359,AXIAVEN
42361,MIDPAR
42362,LITCH
42363,LAFFER
42368,BLUFIN
42373,HMGLOBAL
42374,GLOMAX
42375,ALERE
42376,LAIDCOM
42383,MOFFETT
42396,SKYLINE
42397,PRIMEEX
42400,GREENRD
18,ACCIVAL
20,ADAMS
28,ADVEST
39,EDWARDS
92,APERION
114,ARGUS
121,AROS
148,BACHE
166,SANINVLC
202,CLARUS
203,CROSSRE
229,GARP
244,LATINVES
259,BEESON
295,BLAIR
362,KIMC
368,BVBANK
375,LONGBOW
396,CABLEHOW
415,CAPELEUR
480,CHEVREUX
531,CLALEXHK
536,TRISTONE
538,CLUSA
