1158,FAIRECHIO J,CAPSTONE,CAPSTONE PARTNERS,5-Apr-12
1163,MAYER F,DESJARD,DESJARDINS SECURITIES INTERNATIONAL INC.,11-Jul-06
1173,GULLEY M,BGCFINAN,"BGC Financial, L.P.",5-Nov-14
1176,CONIGLIARO L,GOLDMAN,GOLDMAN SACHS & CO. LLC,6-Dec-07
1181,SPEARS J,GARWOOD,"GARWOOD CAPITAL ADVISORS, LLC",28-Sep-11
1182,HOKANSON R,BARRING,"BARRINGTON RESEARCH ASSOCIATES, INC.",24-May-17
1188,CALLAN B,BACHE,Prudential Bache Securities Inc.,22-May-07
1200,LONGLEY A,BUCK,BUCKLER SECURITIES LLC,21-Nov-14
1205,HILL E,MLGA,Merrill Lynch Government Securities Inc.,16-Jun-06
1211,NATTEL I,RBCDOMIN,"RBC Capital Markets, LLC",30-Nov-21
1216,ALTMAN D,BEAR,BEAR CREEK SECURITIES LLC,25-Oct-06
1220,SIMPSON K,GRIFFIN,"GRIFFIN CAPITAL SECURITIES, LLC",3-Jan-22
1228,CRANDELL J,DAHLROSE,"Dahl & Melin, Inc.",22-May-13
1233,SMITH H,FIRSANAL,First Analysis Securities Corporation,29-Mar-20
1247,GRAVES T,POORSTAN,Piper Sandler & Co.,31-Jan-14
1258,POLINI A,AMERICAP,"AMERICAP SECURITIES, INC.",1-Nov-21
1291,CHOQUETTE K,MCLEOD,McLeod & Company,17-Oct-13
1301,HIGGINS J,TICON,"Tradition Securities and Derivatives, Inc.",20-Jan-12
1308,KOTOWSKI C,FAHN,First Allied Holdings Inc.,13-Jan-22
1309,CRABTREE B,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",27-Jul-09
1315,WILSON D,HOWARD,Howard Weil Incorporated,5-Apr-16
1319,PERCARPIO C,JANNEY,JANNEY MONTGOMERY SCOTT LLC,21-Jul-05
1320,CAMPBELL C,SOGENED,"SG Americas Securities, LLC",16-Dec-08
1323,DUTTON B,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,28-Jun-13
1324,MCALPINE D,MCALPINE,"McAlpine Associates, Inc.",18-Nov-05
1341,BROWN E,MONTSEC,Montgomery Securities,27-Feb-08
1342,ROSENBERG D,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,19-Nov-04
1361,RELYEA W,MIDPAR,"MidAmerica Financial Services, Inc.",27-Aug-18
1374,ATORINO E,THEBENCH,"The Benchmark Company, LLC",6-Nov-15
1390,MUSSER J,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",12-May-06
1391,MARSH L,FRCLAYSC,Barclays Capital Inc.,17-Oct-12
1395,WEWER D,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",6-Sep-19
1432,STOUFFER B,SCOTT,"SCOTT JAMES GROUP, INC.",6-Aug-08
1439,NISBET P,JSASOL,"J.S.A. Securities Corp., d/b/a JSA Securities",23-Nov-10
1445,RUBEL H,JEFFEREG,Jefferies LLC,18-Oct-17
1473,LARSON E,GHUNTER,"G. HUNTER & ASSOCIATES, INC.",21-Jan-22
1482,HAMLIN T,WHEAT,"Wheat Capital Management, Inc.",3-Feb-06
1483,FISCHER D,WHEAT,"Wheat Capital Management, Inc.",12-May-08
1526,LARKIN J,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",13-Nov-17
1558,BAUGH J,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",9-Jul-20
1574,KAVAFIAN J,RESEARCH,RESEARCH CAPITAL USA INC.,13-Mar-06
1575,VALLANCE V,FRASERMC,Fraser McCombs Capital LLC,4-Aug-10
1591,GOSS J,BARRING,"BARRINGTON RESEARCH ASSOCIATES, INC.",22-Feb-22
1592,KATZ R,BEAR,BEAR CREEK SECURITIES LLC,7-Feb-06
1598,LEVY C,MACQUARI,MACQUARIE CAPITAL (USA) INC.,21-Oct-19
1601,STRACHAN G,GOLDMAN,GOLDMAN SACHS & CO. LLC,6-Jan-05
1611,MCCANN J,POORSTAN,Piper Sandler & Co.,10-Feb-14
1613,BLANTON A,INGALLS,"INGALLS & SNYDER, LLC",21-Dec-10
1617,COHEN D,MONTSEC,Montgomery Securities,4-Dec-08
1636,MORTON N,RBCDOMIN,"RBC Capital Markets, LLC",6-Nov-09
1643,TROTT D,JEFFEREG,Jefferies LLC,13-Jul-07
1657,BROWN F,ROBINSON,"ROBINSON & CO., INC.",29-Sep-05
1662,BROWN R,LAKES,"LAKESHORE SECURITIES, L.P.",12-Nov-21
1664,DAVIS A,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",25-Oct-11
1665,BARRY D,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",18-May-05
1669,ELLIOTT B,RAYMOND,"RAYMOND JAMES & ASSOCIATES, INC.",30-Jun-14
1699,MARCUS A,LAWRENCE,"LAWRENCE, KAMIN, SAUER & WIGON INCORPORATED",18-Feb-05
1701,BUCKLEY J,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",2-Dec-16
1717,GOULD A,LOOPCAMA,LOOP CAPITAL MARKETS LLC,14-Jan-22
1722,YUSCHAK D,WMJM,William J. Murphy & Co.,5-Mar-10
1738,RAMEY T,PIVOTAL,Pivotal Research Group LLC,28-Aug-19
1741,FORD D,FRCLAYSC,Barclays Capital Inc.,28-Jul-17
1755,WISE R,STIFEL,"STIFEL INDEPENDENT ADVISORS, LLC",25-Jan-22
1763,GERATY D,RBCDOMIN,"RBC Capital Markets, LLC",5-Apr-06
1797,GRUNEICH K,BEAR,BEAR CREEK SECURITIES LLC,26-Apr-06
1830,MEEKER M,MORGAN,MCMORGAN & COMPANY CAPITAL ADVISORS LLC,15-Nov-10
1848,LANE D,LANERE,,2-Feb-22
1923,MILLMAN M,MILLMAN,Millman Research Associates,25-Aug-21
1924,BLOUNT H,LEHMAN,LEHMAN BROTHERS INC.,20-Nov-07
1950,EXSTEIN M,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,22-Nov-16
1960,GIBSON W,CRUTTEN,"Cruttendon & Co., LLC",31-Jan-20
1995,TINKER J,MAXIM,MAXIM GROUP LLC,26-Jun-15
1997,NEFF A,BEAR,BEAR CREEK SECURITIES LLC,21-May-08
2003,SCHLANG E,GREWEL,"Greenwalt Sponsel & Co., Inc.",23-Dec-19
2013,RAY J,VIRGINIA,"B. Riley Wealth Advisors, Inc.",29-Nov-12
2033,LEINWAND J,RBCDOMIN,"RBC Capital Markets, LLC",4-Nov-05
2043,HALLAREN G,JANCO,"Janco Partners, Inc.",6-Sep-13
2059,STEINBERG D,LAWRENCE,"LAWRENCE, KAMIN, SAUER & WIGON INCORPORATED",30-Sep-13
2070,TELSEY D,TELSEY,TELSEY ADVISORY GROUP LLC,21-Jan-22
2071,TELZROW D,STEPHENS,STEPHENS,20-Feb-09
2084,TOGUT D,EVERCO,EVERCORE GROUP L.L.C.,4-Feb-22
2096,VAN ZELFDEN D,ROBINSON,"ROBINSON & CO., INC.",9-Mar-06
2099,VON BEHREN D,APERION,"Aperion Financial Group, Inc.",7-Feb-06
2108,WEBBER D,FIRSTALB,First Albany Capital Inc.,30-Jun-08
2112,WEST D,VIRGINIA,"B. Riley Wealth Advisors, Inc.",20-Dec-12
2298,APPELL E,RTXSECS,"RAMIREZ & CO., INC.",9-Aug-06
2314,BOSSHARD E,CLEVELAN,CLEVELAND RESEARCH COMPANY LLC,15-Sep-14
2420,MALONE E,WNDRLICH,"Wunderlich Securities, Inc.",12-Aug-11
2426,HOLLAND A,SOGENED,"SG Americas Securities, LLC",18-Jul-14
2468,SENKO E,WILLIAMC,"William C. Burnside & Company, Inc.",11-May-10
2471,SNYDER E,NORTHRES,,26-Jun-18
2472,SPEHAR E,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",21-Aug-12
2639,CAMPBELL J,FRCLAYSC,Barclays Capital Inc.,15-Sep-11
2723,ELLIOTT C,GOLDMAN,GOLDMAN SACHS & CO. LLC,20-Sep-05
2739,MORGAN F,RBCDOMIN,"RBC Capital Markets, LLC",17-Nov-21
2879,BAKER P,MCLEOD,McLeod & Company,4-Nov-21
3009,TURNER D,AVONDALE,"ACCESS INVESTMENTS, INC.",17-Dec-10
3013,GERMANOTTA J,BLAIR,"William Blair & Company, L.L.C.",1-Feb-11
3015,GIEBER G,EDWARDS,"EDWARDS & SONS, INC.",30-Aug-07
3096,BENNETT K,CRTCAP,"CREDIT CAPITAL FUNDING, LLC",20-May-16
3107,REICIN G,MORGAN,MCMORGAN & COMPANY CAPITAL ADVISORS LLC,1-May-08
3167,ZIMMERMANN A,MACQUARI,MACQUARIE CAPITAL (USA) INC.,3-May-13
3293,ALLAN B,RESEARCH,RESEARCH CAPITAL USA INC.,29-Jul-16
3308,FONG H,MKMPARTN,MKM Partners LLC,16-Dec-21
3392,WILLIAMS C,FIRSTINV,"First Investors Financial Services, Inc.",13-Jul-06
3472,BARRY P,BEAR,BEAR CREEK SECURITIES LLC,27-Feb-08
3478,SMITH G,HAYWOOD,HAYWOOD SECURITIES (USA) INC.,1-Sep-06
3533,SMITH A,DREXEL,"DREXEL HAMILTON, LLC",16-Oct-13
3533,SMITH A,JPMORGAN,"JPMORGAN DISTRIBUTION SERVICES, INC.",16-Oct-13
3549,GILSON I,ZACKSINV,"Zacks Investment Research, Inc.",4-Aug-11
3595,ROBERTS D,WOODGUND,Wood Gundy Corp.,22-Jan-09
3673,AGULAR J,JOHNRICE,"John Rice Securities, Inc.",25-Nov-09
3703,BALTER G,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,15-Jan-15
3740,CASSIDY G,RBCDOMIN,"RBC Capital Markets, LLC",29-Dec-21
3742,BRADSHAW J,DAVIDSON,D.A. DAVIDSON & CO.,1-May-08
3912,CAMPBELL P,BURNS,BMO NESBITT BURNS SECURITIES LTD.,5-Feb-18
3995,HERRLIN J,SOGENED,"SG Americas Securities, LLC",20-Mar-19
4090,LAMANNA J,BLAIR,"William Blair & Company, L.L.C.",14-Mar-05
4100,LAWRENCE J,THEBENCH,"The Benchmark Company, LLC",21-Dec-21
4114,PARRELLA E,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",23-Oct-08
4194,MCRAE J,NEXTGENE,"Next Generation Equity Research, LLC",31-Oct-08
4220,KUNDTZ T,NEEDHAM,"NEEDHAM & COMPANY, LLC",7-Dec-10
4221,PACE P,FBOSTON,CREDIT SUISSE SECURITIES (USA) LLC,20-May-05
4229,KELLY G,CRUTTEN,"Cruttendon & Co., LLC",1-Feb-22
4233,WALKER W,WSTREET,Wall Street Access,8-May-09
4299,POYNER J,HAPOALIM,"Hapoalim Securities USA, Inc.",5-Jan-07
4358,RUBIN J,GOLDMAN,GOLDMAN SACHS & CO. LLC,15-Oct-18
4532,REIF COHEN J,MERRILL,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",24-Jan-22
4676,TAYLOR R,CLKA,Clikia Corp,5-Sep-14
4687,IKENSON H,FULGLO,Fulcrum Global Partners LLC,6-Jun-07
4701,COUPLAND T,WOODGUND,Wood Gundy Corp.,13-Feb-22
4751,DRISCOLL T,FRCLAYSC,Barclays Capital Inc.,19-Jan-18
5048,ATWELL W,GHUNTER,"G. HUNTER & ASSOCIATES, INC.",7-Nov-12
5110,BRACKEN F,JEFFEREG,Jefferies LLC,24-Jul-06
